News Headline,Sentiment
Energy shares drag on Wall Street as crude prices fall,negative
Lowe's to shut 34 Canadian stores as it reports revenue miss,negative
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",neutral
Minority shareholders of Nirma shocked over fresh exit offer of Rs 225/ share,negative
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,neutral
The company did not disclose the price of the acquisition .,neutral
Equity markets likely to shine as Rupee's depreciation slows,positive
"Jignesh Shah, aide Shreekant Javalgekar held in Rs 5,600-crore NSEL scam",negative
"S&P 500 headed for a 67% downturn? Seems ‘preposterous’ now but so did similar pullbacks begun in 2000 and 2007, sa… https://t.co/a4vFwHt6n5",negative
Sell Your Bonds! Buy Net Lease REITs Instead. Continue reading: https://t.co/YmjHN6AAcY #trading #markets #business,neutral
"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",neutral
House Democrats roll out articles of impeachment against Trump https://t.co/HRjKKXqIUZ,neutral
"New Zealand’s central bank doesn’t expect its new bank capital rules to present a headwind for the economy, which l… https://t.co/YXwseGIYHw",neutral
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",negative
"IT companies will continue to deliver, says Dipan Mehta",positive
Reliance Capital Q1 net profit up 22.5 per cent at Rs 201 crore,positive
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral
And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,neutral
Core Projects Q3 net profit dips by 21% to Rs 24.43 cr,negative
"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",neutral
"F&O Tracker: Foxed by market slide, traders unwind longs",negative
BSE Metal Index pares losses as Rajya Sabha passes MMDR Bill,positive
Stocks hit lows of the day as oil plunges briefly plunges more than 9% https://t.co/JhUWpIRPRb https://t.co/WS7bbpWEQh,negative
Hong Kong index inches down from highest level since December,negative
It is expected to be online by 2011 .,neutral
Investors cheered the blockbuster November jobs report https://t.co/CgSzMYRjdY,positive
