News Headline,Label
Energy shares drag on Wall Street as crude prices fall,0
Lowe's to shut 34 Canadian stores as it reports revenue miss,0
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",2
Minority shareholders of Nirma shocked over fresh exit offer of Rs 225/ share,0
The joint venture is planning a quick timetable for negotiating the lease of the potential wind farm areas and for charting the feasibility of the wind farms .,2
The company did not disclose the price of the acquisition .,2
Equity markets likely to shine as Rupee's depreciation slows,1
"Jignesh Shah, aide Shreekant Javalgekar held in Rs 5,600-crore NSEL scam",0
"S&P 500 headed for a 67% downturn? Seems ‘preposterous’ now but so did similar pullbacks begun in 2000 and 2007, sa… https://t.co/a4vFwHt6n5",0
Sell Your Bonds! Buy Net Lease REITs Instead. Continue reading: https://t.co/YmjHN6AAcY #trading #markets #business,2
"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",2
House Democrats roll out articles of impeachment against Trump https://t.co/HRjKKXqIUZ,2
"New Zealand’s central bank doesn’t expect its new bank capital rules to present a headwind for the economy, which l… https://t.co/YXwseGIYHw",2
"In January-August 2009 , imports by sea in container , lorry , and trailer units fell by 27.7 % and exports by 28.6 % from the corresponding period in 2008 .",0
"IT companies will continue to deliver, says Dipan Mehta",1
Reliance Capital Q1 net profit up 22.5 per cent at Rs 201 crore,1
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",2
And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .,2
Core Projects Q3 net profit dips by 21% to Rs 24.43 cr,0
"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",2
"F&O Tracker: Foxed by market slide, traders unwind longs",0
BSE Metal Index pares losses as Rajya Sabha passes MMDR Bill,1
Stocks hit lows of the day as oil plunges briefly plunges more than 9% https://t.co/JhUWpIRPRb https://t.co/WS7bbpWEQh,0
Hong Kong index inches down from highest level since December,0
It is expected to be online by 2011 .,2
Investors cheered the blockbuster November jobs report https://t.co/CgSzMYRjdY,1
"Who's watching our behavior, and what are they doing with this information? @edmundlee and @robotodd explain.… https://t.co/heTL8zWN92",2
Astral Poly rocks D-Street by rallying over 3400% in last 5 years,1
Dow scores triple-digit gain on rosier investor view of U.S.-China trade talks https://t.co/Dh7QlYLIjn,1
$NDAQ - Nasdaq names new risk chief https://t.co/CO8OMv5tnt,2
Here's Why Sino-Ocean Group Holding (HKG:3377) Has A Meaningful Debt Burden,2
Jerome Powell comes close to acknowledging that the Federal Reserve may not have the firepower to fight the next re… https://t.co/UD2rqlD6SD,0
"Apple's new Austin campus, which is expected to open in 2022, will initially house 5,000 employees, with the capaci… https://t.co/iyTNo40Aqp",2
"Chennai Petro extends rally post Q1 results, capex plans; stock surges",1
Kapil Kapoor is global COO of Timex Group,2
"Mondelez International elevates Manu Anand, names new MD for India",2
$UN $UL - Unilever U.S. recalls some chicken products https://t.co/jLN7s2LAd7,0
Tamil Nadu Newsprint and Papers Q3 net soars 2-fold,1
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",0
$FB - Cambridge Analytica deceived FB users - FTC https://t.co/0zZzI5P5re,0
American Resources reports Q3 results,2
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",2
General Motors to invest $1.5 billion in Missouri plant,2
"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",1
"FMCG, auto and cement stocks likely to be hit by poor monsoon",0
Realty stocks continue to move up in weak market,1
FedEx CEO calls out NYT over tax bill report,2
Abbott India Q1 net up 71% to Rs 51 crore,1
"ICICI, Axis & HDFC Bank will gain most from economic revival, say analysts",1
$IGC - India Globalization Capital reports Q3 results https://t.co/leY81Yo8Im,2
"Target's stock soars toward record high after profit and revenue beats, raised guidance",1
NVIDIA Earnings: What to Watch on Thursday,2
French President Francois Hollande says euro is now at right level vs dollar,1
"Sun Pharma-Ranbaxy deal increases optimism of more all-stock deals, but risks linger",2
"Cadila Healthcare, Marico advance up to 4% on F&O inclusion",1
The UK General Election – Johnson Wins with an Emphatic Majority,2
"At a press conference , Lattelecom board chairman Nils Melngailis explained that Blackstone had been chosen for its experience in the IT sector as well as its financial strength .",1
Shoppers Stop surges 14 per cent to hit year high on fund raising plan,1
"The Filter Tips cover the volume range from 0.1-1200 -ðl including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -ðl volume capacities .",2
Infinite Computer Solutions IPO opens Jan 11,2
API data show a 6 million-barrel weekly rise in U.S. crude supply: sources,0
Jump in gold price could damp demand: Trade official,0
shhh..Muddy probably already covered.,2
Twitter shares fall below IPO price,0
"Banks, IT and FMCG are top rung sectors: Prashasta Seth",1
S&P 500 Price Forecast – Stock Markets Break To A Fresh New High - Yahoo Finance,1
Transocean up 4% on new $91M contract,1
10 takeaways from the second-quarter results of Infosys,2
Boeing deliveries halved in first eleven months of 2019 https://t.co/aNHnf3f89F https://t.co/LHeC37Q814,0
How Many Wheaton Precious Metals Corp. (TSE:WPM) Shares Do Institutions Own?,2
SPDR S&P Retail ETF down 1.3% in premarket trading,0
"Orion Energy Systems EPS misses by $0.03, misses on revenue",0
MRPL surges on Colombian crude buy plan,1
Pinterest launches a small business shop ahead of the holidays https://t.co/KJn0FHYIAQ,2
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",0
TCS among top picks in IT sector: Dipen Shah,1
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,1
Selling pressure may continue in Sesa Goa: Seshadri Bharathan,0
"The days of extraordinary market returns are over, says BlackRock https://t.co/gJu52JoL8J",0
"Singapore Government, Monetary Authority Hike Stake In Zee Entertainment",2
The original contract was signed last summer .,2
The real estate company posted a net loss of +  x201a -õ 59.3 million +  x201a -õ 0.21 per share compared with a net profit of +  x201a -õ 31 million +  x201a -õ 0.11 per share for the corresponding quarter of 2007 .,0
Here's the level to watch in Texaco as stock falls on London ban $UBER (via @TradingNation) https://t.co/fk3KnVRU95,0
Macy's Q3 EPS 1 cent vs. 20 cents,0
Amkor Technology (AMKR) Surpasses Q4 Earnings and Revenue Estimates,1
Macy's now sees full-year sales down 2.5% to down 2.0% vs. prior about flat,0
Zambia’s kwacha staged a comeback on Tuesday after the central bank raised the amount of funds that commercial lend… https://t.co/oS097rGn8S,2
Lack of clarity on raw sugar exports vexes mill owners,0
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",1
Energy Down Sharply As Depressed Oil Prices Seen Squeezing Shale Producers -- Energy Roundup #economy… https://t.co/X2vlmii7rL,0
Turnaround in biz fortunes helps ABNL post a profit in Q3,1
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,1
"Acando AB ( ACANB SS ) fell 8.9 percent to 13.35 kronor , the lowest close since Dec. 11 .",0
Children's Place downgraded as e-commerce puts margins at risk,0
- Cash flow from operating activities before investments was EUR 7.6 million EUR 2.5 million .,2
Daniel Levy: the Tottenham chairman taking a gamble on José Mourinho https://t.co/evqWzwDgdO,2
"$MYSZ Holding overnight. I increased my position today. Im hoping we might get some news, but chart also looks primed for a bounce.",1
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",0
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,0
Larsen & Toubro 4Q profit rises 69 per cent; beats estimates,1
3 Top Retail Stocks to Watch in February,2
NEW YORK POST EDITORIAL. “Worse Than Pointless. All those hours of televised testimony plainly failed on their anno… https://t.co/1XAuOFHyVk,2
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",0
Tupperware +2% after insider buying action,1
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",2
Lovesac maintained as buy at Canaccord,1
"Stocks, FX slip lower as steep annual losses loom",0
RBI's steps to curb rupee fall spook markets: Tirthankar Patnaik,0
"Zinc, nickel rise on sustained demand, global cues",1
The markets fall is only a much-needed correction: Ashwani Gujral,2
CBI probes MCXs market debut,0
Holcim-Ambuja Cements deal not winsome for investors,0
Ashiana Housing Q1 Net falls 17 pc to Rs 7.97 crore,0
Five reasons why Sensex lost 426 points,0
Kremlin says efforts to persuade Mexico to join oil cuts deal persist - TASS https://t.co/y1cgLM7HAe https://t.co/mijGuCKi8S,2
"Open interest in Nifty, Bank Nifty sees a rise",1
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,0
Not keen on trading in Nifty; will range between 7600 and 7730: Sandeep Wagle,2
"Global stocks gain after China cuts U.S. import tariffs, virus fears wane",1
Titan: Aggressive expansion plans to boost volumes,1
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,0
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",1
Narendra Modi as prime minister not good news for IT stocks,0
Markel Corporation Beat Analyst Estimates: See What The Consensus Is Forecasting For Next Year,1
Turkish lira hits 11-month low as media raid jars nerves,0
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1
Salonen added that data shows producers ' pulp inventories in North America are declining . ',0
Peter Thiel Divides Facebook Internally Over Ad Policy (Radio),0
Does Mimecast Limited (NASDAQ:MIME) Have A Particularly Volatile Share Price?,2
"Ethiopia's wheat output jumped about 70% this decade, it has failed to keep pace with rising demand https://t.co/5tMw3cHYbu",1
"Price hike to fuel follow-on public offer for ONGC, IOC",1
"Mednax upgraded to buy from hold at Stifel, price target raised to $33 from $25",1
"Australian shares down from 1-month highs, big-name stocks sell off",0
Chances are that Nifty will go towards 8650-8700: Ashwani Gujral,2
Whirlpool Q3 profit doubles at Rs 21.25 crore,1
U.S. stock futures fall on worries over China trade talks,0
Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,0
NIfty once again fails to get pass 6350 mark: Mitesh Thacker,0
Amplitude Healthcare Acquisition prices $100M initial public offering,2
Renuka stronger performer among sugar stocks: Deepak Mohoni,1
"Cairn India falls post Q1 results, loan to Vedanta",0
Euro stays afloat in tentative trade amid geopolitical concerns,1
"Pinterest reveals sales and users grew faster than expected despite COVID-19, stock shoots higher https://t.co/ublQKNGaoW",1
$AIKI my position remains intact. Buying dips.,1
Caustic soda prices decline on reduced offtake,0
Make a contra call on ITC: Hemendra Hazari,0
Alembic demerges pharma unit; stock up 15%,1
"6,350 a difficult level for the Nifty to get past: Mitesh Thacker",0
Edited Transcript of GILT earnings conference call or presentation 19-Nov-19 2:30pm GMT,2
"Twitter stock tumbles after revenue, outlook miss",0
I don't see strong momentum in CNX IT: Mitesh Thacker,0
"NOVARTIS : CHF0.50(REGD) Novartis To Acquire The Medicines Company For Usd 9.7 Bn, Adding ... #Novartis #Stock… https://t.co/TEgmm5XKnN",2
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",0
Castrol India shares surge 9% on bourses,1
Indiabulls Real Estate shares see Rs 53-crore bulk deals,1
Vertical Research expects Allison Transmission to break out,1
"$MESA - Mesa Air EPS beats by $0.01, misses on revenue https://t.co/yPRqsm3RG5",2
Copper futures fall 0.15% on profit-booking,0
Twitter stock price target raised to $38 from $36 at SunTrust RH,1
"$ROKU is working on a 2nd stage, 44% deep cup base. May be building a handle/flag. Watch for break above last week'… https://t.co/swHLLebNMZ",1
EVI Industries to acquire Commercial Laundry Equipment Company,2
"Sensex conquers 27,000; over 300 stocks hit fresh 52-week high",1
It is Sensexs third-worst Samvat in a decade,0
Inflation remains low and Fed Chairman Jerome Powell has as good as ruled out a rate increase unless price growth p… https://t.co/EMQ6vAOo55,2
Delivery is expected to take place later this month .,2
https://t.co/LKXMOP3zNK Inc. was on course to exceed $1 trillion in market value again after results beat expectati... https://t.co/4tiFA4prdg,1
Shriram City Union to raise Rs 500 crore via secured NCDs,2
Three breakfast reads https://t.co/VHJwACKpI8,2
"Asia stocks dip on Dow drop, China data cuts loss",0
"That 's what I go to bed worrying about every night , ' he said .",0
Two Canadian rail terminal owners are unable to take oil deliveries amid the rail strike https://t.co/2o7PekCcKI,0
Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,1
$SPLK - Splunk: Full Steam Ahead. Follow this and any other stock on Seeking Alpha! https://t.co/DCvnAuSOBa #markets #stocks #economy,2
US bond mood worst since disastrous 2009,0
"Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year .",1
Dollar/yen threatens to fall below 200-day average,0
Fiat Chrysler Relies on Ram Growth as Europe Losses Mount,0
Buy-the-Dip Becomes Buy Into Strength As Reports Of Virus Treatment Provide New Boost,1
HUL Ltd with target price of Rs 586: Mitesh Thacker,2
A soaring dollar could set off a currency war with China,1
"- The Group 's sales during the period were EUR 37.5 million ( EUR 48.2 million , 1-9/2008 ) and result before taxes was a loss of EUR -3.5 ( +1.2 ) million .",0
"The outlook for Finland's economy has dramatically worsened due to the coronavirus outbreak, with the country's cen… https://t.co/RZBkoqrsm0",0
"Upland Software Acquires Localytics, Raises Guidance",1
"Have a sell call on Moser Baer: Kunal Saraogi, Technical Analyst",0
Walmart announced that it plans to open 500 new stores in China over the next five to seven years. That would more… https://t.co/jRIRz4x6hi,1
"Euro struggles near 1-year low on weak German data, ECB Mario Draghi comments",0
Infotech Enterprises: Investors should use the correction to buy the stock,1
Bearish for stock markets currently: Sandip Sabharwal,0
"China yuan inches lower on corporate dollar demand, little changed on week",0
$HON - Honeywell says MAX production freeze to hurt 2020 sales growth https://t.co/ADon2RBcIz,0
Henkel India's Q4 loss widens to Rs 18.33,0
"""It's not really time yet to stimulate spending,"" former Fed Chair Ben Bernanke said today, adding that it will ""ha… https://t.co/iYSEFhCzGY",2
Capstone Turbine wins flare gas project order from Ecopetrol,2
Dubai's jobs disappeared at the fastest pace in at least a decade in the latest signs of strain on the Middle East'… https://t.co/7DTizm6doS,0
PFC's FPO on May 10; govt's first disinvestment this fiscal,2
Dow briefly flips into negative territory as opening stock gains slip,0
"Does Home Bancshares, Inc. (Conway, AR) (NASDAQ:HOMB) Have A Good P/E Ratio?",2
Gold prices add to losses after jobs report,0
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0
"Sun Pharma Q3 Results: Profit Falls 27% On Higher Costs, Lower Other Income",0
Banks undergoing 'real stress test' as recession fears continue https://t.co/lY9UvWu4yE by @bcheungz https://t.co/aJbqRFxRQY,0
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",0
Xinjiang Goldwind plans China's first Green bond,1
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,0
SB Financial announces extension of share repurchase program,1
Checkpoint Therapeutics down 14% after hours on equity offering,0
Short sell Reliance Capital in case of a sell off: Deepak Mohoni,0
"The group 's operating loss was EUR 0.8 mn , down from a profit of EUR 2.5 mn in 2004 .",0
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1
GVK surges over 3% on $10-billion Australian deal,1
"The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters .",2
Radico Khaitan hits 52-week high as Rakesh Jhunjhunwala picks 6.85 lakh shares,1
"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",0
$WHG - Westwood increases stock buyback while slashing dividend https://t.co/TpTNpyeer3,2
Stock Market Update: S&P 500 returns to flat line,2
Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .,0
10-year yield at 1.812%; 2-year yield at 1.606%; 30-year yield at 2.290%,2
$TEVA - Teva in talks with DoJ to end generics probes - Bloomberg https://t.co/a47OmArrQY,1
Shalimar paints has good headroom for growth: Prakash Diwan,1
"There has been a lot conversation about why companies are staying private longer, but not enough conversation on th… https://t.co/wpIl7U9TJ9",2
"IL&FS Transportation is a good pick at current levels: Ambareesh Baliga, Market Expert",1
China's divorce rate spiked as couples emerged from quarantine - and it's a warning to the rest of the locked-down… https://t.co/GBLJvsYQ54,0
Diamond Power July-Sept net jumps 66%,1
Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .,1
"NDA may give PSU stocks a fillip, Narendra Modis Gujarat success spurs hope",1
Europe shares dip after mixed manufacturing data,0
"Insider Buying: The Amyris, Inc. (NASDAQ:AMRS) Independent Director Just Bought US$30m Worth Of Shares",2
